theta0 theta1 theta2 fc_t_min
0 -1.0472 0.575959 0
0 -1.0472 0.628319 0
0 -1.0472 0.680678 0
0 -1.0472 0.733038 0
0 -1.0472 0.785398 0
0 -1.0472 0.837758 0
0 -1.0472 0.890118 0
0 -1.0472 0.942478 0
0 -1.0472 0.994838 0
0 -1.0472 1.0472 0
0.0523599 -0.0523599 0 1.24574
0.0523599 -0.0523599 0.0523599 1.16239
0.0523599 -0.0523599 0.10472 1.27555
0.0523599 -0.0523599 0.15708 1.1658
0.0523599 -0.0523599 0.20944 1.32963
0.0523599 -0.0523599 0.261799 1.17956
0.0523599 -0.0523599 0.314159 1.36371
0.0523599 -0.0523599 0.366519 1.47718
0.0523599 -0.0523599 0.418879 1.62448
0.0523599 -0.0523599 0.471239 1.5259
0.0523599 -0.0523599 0.523599 1.4616
0.0523599 -0.0523599 0.575959 1.19945
0.0523599 -0.0523599 0.628319 0.967538
0.0523599 -0.0523599 0.680678 0.944444
0.0523599 -0.0523599 0.733038 0.971902
0.0523599 -0.0523599 0.785398 1.00986
0.0523599 -0.0523599 0.837758 1.04546
0.0523599 -0.0523599 0.890118 1.09045
0.0523599 -0.0523599 0.942478 1.13425
0.0523599 -0.0523599 0.994838 1.0694
0.0523599 -0.0523599 1.0472 1.17686
0.0523599 -0.10472 0 1.10035
0.0523599 -0.10472 0.0523599 1.20675
0.0523599 -0.10472 0.10472 1.17822
0.0523599 -0.10472 0.15708 1.35386
0.0523599 -0.10472 0.20944 1.26929
0.0523599 -0.10472 0.261799 1.19375
0.0523599 -0.10472 0.314159 1.1106
0.0523599 -0.10472 0.366519 1.20264
0.0523599 -0.10472 0.418879 1.35003
0.0523599 -0.10472 0.471239 1.50378
0.0523599 -0.10472 0.523599 1.36276
0.0523599 -0.10472 0.575959 1.29106
0.0523599 -0.10472 0.628319 1.04276
0.0523599 -0.10472 0.680678 0.865282
0.0523599 -0.10472 0.733038 0.902017
0.0523599 -0.10472 0.785398 0.948204
0.0523599 -0.10472 0.837758 0.971116
0.0523599 -0.10472 0.890118 1.14874
0.0523599 -0.10472 0.942478 0.922961
0.0523599 -0.10472 0.994838 0.979718
0.0523599 -0.10472 1.0472 1.03102
0.0523599 -0.15708 0 1.10004
0.0523599 -0.15708 0.0523599 1.2477
0.0523599 -0.15708 0.10472 1.1381
0.0523599 -0.15708 0.15708 1.23055
0.0523599 -0.15708 0.20944 1.27891
0.0523599 -0.15708 0.261799 1.12961
0.0523599 -0.15708 0.314159 1.08874
0.0523599 -0.15708 0.366519 1.05695
0.0523599 -0.15708 0.418879 1.14968
0.0523599 -0.15708 0.471239 1.2536
0.0523599 -0.15708 0.523599 1.34834
0.0523599 -0.15708 0.575959 1.29675
0.0523599 -0.15708 0.628319 1.11614
0.0523599 -0.15708 0.680678 0.862489
0.0523599 -0.15708 0.733038 0.857967
0.0523599 -0.15708 0.785398 0.914776
0.0523599 -0.15708 0.837758 0.940791
0.0523599 -0.15708 0.890118 0.958409
0.0523599 -0.15708 0.942478 0.976984
0.0523599 -0.15708 0.994838 0.979104
0.0523599 -0.15708 1.0472 0.886925
0.0523599 -0.20944 0 1.16087
0.0523599 -0.20944 0.0523599 1.28752
0.0523599 -0.20944 0.10472 1.00362
0.0523599 -0.20944 0.15708 1.08158
0.0523599 -0.20944 0.20944 1.21849
0.0523599 -0.20944 0.261799 1.23755
0.0523599 -0.20944 0.314159 1.14732
0.0523599 -0.20944 0.366519 1.11843
0.0523599 -0.20944 0.418879 1.09817
