theta0 theta1 theta2 fc_t_min
-0.942478 -0.628319 -0.314159 0
-0.942478 -0.628319 -0.20944 0
-0.942478 -0.628319 -0.10472 0
-0.942478 -0.628319 0 0
-0.942478 -0.628319 0.10472 0
-0.942478 -0.628319 0.20944 0
-0.942478 -0.628319 0.314159 0
-0.942478 -0.628319 0.418879 0
-0.942478 -0.628319 0.523599 0
-0.942478 -0.628319 0.628319 0
-0.942478 -0.628319 0.733038 0
-0.942478 -0.628319 0.837758 0
-0.942478 -0.628319 0.942478 0
-0.942478 -0.628319 1.0472 0
-0.942478 -0.523599 -1.0472 0
-0.942478 -0.523599 -0.942478 0
-0.942478 -0.523599 -0.837758 0
-0.942478 -0.523599 -0.733038 0
-0.942478 -0.523599 -0.628319 0
-0.942478 -0.523599 -0.523599 0
-0.942478 -0.523599 -0.418879 0
-0.942478 -0.523599 -0.314159 0
-0.942478 -0.523599 -0.20944 0
-0.942478 -0.523599 -0.10472 0
-0.942478 -0.523599 0 0
-0.942478 -0.523599 0.10472 0
-0.942478 -0.523599 0.20944 0
-0.942478 -0.523599 0.314159 0
-0.942478 -0.523599 0.418879 0
-0.942478 -0.523599 0.523599 0.0401659
-0.942478 -0.523599 0.628319 0.062426
-0.942478 -0.523599 0.733038 0.0136237
-0.942478 -0.523599 0.837758 0
-0.942478 -0.523599 0.942478 0
-0.942478 -0.523599 1.0472 0
-0.942478 -0.418879 -1.0472 0
-0.942478 -0.418879 -0.942478 0
-0.942478 -0.418879 -0.837758 0
-0.942478 -0.418879 -0.733038 0
-0.942478 -0.418879 -0.628319 0
-0.942478 -0.418879 -0.523599 0
-0.942478 -0.418879 -0.418879 0
-0.942478 -0.418879 -0.314159 0
-0.942478 -0.418879 -0.20944 0
-0.942478 -0.418879 -0.10472 0
-0.942478 -0.418879 0 0
-0.942478 -0.418879 0.10472 0
-0.942478 -0.418879 0.20944 0
-0.942478 -0.418879 0.314159 0.251451
-0.942478 -0.418879 0.418879 0.267988
-0.942478 -0.418879 0.523599 0.411992
-0.942478 -0.418879 0.628319 0.328606
-0.942478 -0.418879 0.733038 0.203649
-0.942478 -0.418879 0.837758 0.0269422
-0.942478 -0.418879 0.942478 0
-0.942478 -0.418879 1.0472 0
-0.942478 -0.314159 -1.0472 0
-0.942478 -0.314159 -0.942478 0
-0.942478 -0.314159 -0.837758 0
-0.942478 -0.314159 -0.733038 0
-0.942478 -0.314159 -0.628319 0
-0.942478 -0.314159 -0.523599 0
-0.942478 -0.314159 -0.418879 0
-0.942478 -0.314159 -0.314159 0
-0.942478 -0.314159 -0.20944 0
-0.942478 -0.314159 -0.10472 0
-0.942478 -0.314159 0 0
-0.942478 -0.314159 0.10472 0.20709
-0.942478 -0.314159 0.20944 0.480748
-0.942478 -0.314159 0.314159 0.620046
-0.942478 -0.314159 0.418879 0.623794
-0.942478 -0.314159 0.523599 0.565588
-0.942478 -0.314159 0.628319 0.417849
-0.942478 -0.314159 0.733038 0.296125
-0.942478 -0.314159 0.837758 0.0756023
-0.942478 -0.314159 0.942478 0
-0.942478 -0.314159 1.0472 0
-0.942478 -0.20944 -1.0472 0
-0.942478 -0.20944 -0.942478 0
-0.942478 -0.20944 -0.837758 0
-0.942478 -0.20944 -0.733038 0
-0.942478 -0.20944 -0.628319 0
-0.942478 -0.20944 -0.523599 0
-0.942478 -0.20944 -0.418879 0
-0.942478 -0.20944 -0.314159 0
-0.942478 -0.20944 -0.20944 0
-0.942478 -0.20944 -0.10472 0.139617
-0.942478 -0.20944 0 0.42994
-0.942478 -0.20944 0.10472 0.524523
-0.942478 -0.20944 0.20944 0.709354
-0.942478 -0.20944 0.314159 0.790245
-0.942478 -0.20944 0.418879 0.655029
-0.942478 -0.20944 0.523599 0.653346
-0.942478 -0.20944 0.628319 0.429185
-0.942478 -0.20944 0.733038 0.301599
-0.942478 -0.20944 0.837758 0.0707073
-0.942478 -0.20944 0.942478 0
-0.942478 -0.20944 1.0472 0
-0.942478 -0.10472 -1.0472 0
-0.942478 -0.10472 -0.942478 0
-0.942478 -0.10472 -0.837758 0
-0.942478 -0.10472 -0.733038 0
-0.942478 -0.10472 -0.628319 0
-0.942478 -0.10472 -0.523599 0
-0.942478 -0.10472 -0.418879 0
-0.942478 -0.10472 -0.314159 0
-0.942478 -0.10472 -0.20944 0.146265
-0.942478 -0.10472 -0.10472 0.436457
-0.942478 -0.10472 0 0.50618
-0.942478 -0.10472 0.10472 0.715888
-0.942478 -0.10472 0.20944 0.790543
-0.942478 -0.10472 0.314159 0.828305
-0.942478 -0.10472 0.418879 0.83106
-0.942478 -0.10472 0.523599 0.682199
-0.942478 -0.10472 0.628319 0.448332
-0.942478 -0.10472 0.733038 0.329626
-0.942478 -0.10472 0.837758 0.116294
-0.942478 -0.10472 0.942478 0
-0.942478 -0.10472 1.0472 0
-0.942478 0 -1.0472 0
-0.942478 0 -0.942478 0
-0.942478 0 -0.837758 0
-0.942478 0 -0.733038 0
-0.942478 0 -0.628319 0
-0.942478 0 -0.523599 0
-0.942478 0 -0.418879 0
-0.942478 0 -0.314159 0
-0.942478 0 -0.20944 0.438192
-0.942478 0 -0.10472 0.497032
-0.942478 0 0 0.72431
-0.942478 0 0.10472 0.784736
-0.942478 0 0.20944 0.832657
-0.942478 0 0.314159 0.874662
-0.942478 0 0.418879 0.834606
-0.942478 0 0.523599 0.687449
-0.942478 0 0.628319 0.552403
-0.942478 0 0.733038 0.338446
-0.942478 0 0.837758 0.124168
-0.942478 0 0.942478 0
-0.942478 0 1.0472 0
-0.942478 0.10472 -1.0472 0
-0.942478 0.10472 -0.942478 0
-0.942478 0.10472 -0.837758 0
-0.942478 0.10472 -0.733038 0
-0.942478 0.10472 -0.628319 0
-0.942478 0.10472 -0.523599 0
-0.942478 0.10472 -0.418879 0
-0.942478 0.10472 -0.314159 0.208191
-0.942478 0.10472 -0.20944 0.497179
-0.942478 0.10472 -0.10472 0.734529
-0.942478 0.10472 0 0.785071
-0.942478 0.10472 0.10472 0.827887
-0.942478 0.10472 0.20944 0.866467
-0.942478 0.10472 0.314159 0.901479
-0.942478 0.10472 0.418879 0.847204
-0.942478 0.10472 0.523599 0.703724
-0.942478 0.10472 0.628319 0.448798
-0.942478 0.10472 0.733038 0.349188
-0.942478 0.10472 0.837758 0.148581
-0.942478 0.10472 0.942478 0
-0.942478 0.10472 1.0472 0
-0.942478 0.20944 -1.0472 0
-0.942478 0.20944 -0.942478 0
-0.942478 0.20944 -0.837758 0
-0.942478 0.20944 -0.733038 0
-0.942478 0.20944 -0.628319 0
-0.942478 0.20944 -0.523599 0
